          20  5.000000000000000E-002   50.0000000000000     
         0.2499999999999996E-01         0.9999999999999968E+00
         0.7500000000000001E-01         0.1000000000000004E+01
         0.1249999999999999E+00         0.1000000000000007E+01
         0.1750000000000001E+00         0.9999999999999980E+00
         0.2250000000000000E+00         0.9999999999999850E+00
         0.2750000000000001E+00         0.9999999999999983E+00
         0.3250000000000003E+00         0.1000000000000003E+01
         0.3750000000000332E+00         0.1000000000005757E+01
         0.4250000000926987E+00         0.1000000013271847E+01
         0.4750000581861712E+00         0.1000006693395781E+01
         0.5250094989477189E+00         0.1000844668279482E+01
         0.5754232516100277E+00         0.1026653795226224E+01
         0.6304257721164759E+00         0.1218068524180205E+01
         0.7022528811158224E+00         0.1704387852209931E+01
         0.8061531643312199E+00         0.2516615005766489E+01
         0.9631745399406698E+00         0.3898302156009752E+01
         0.1217158407823819E+01         0.6594812249242681E+01
         0.1682844469885529E+01         0.1311696591092056E+02
         0.2781988663484380E+01         0.3675630804473332E+02
         0.8312491731428482E+01         0.3321670350867591E+03
